"Code","Definition"
"U-1820","METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION BY ADMINISTERING A PHARMACEUTICAL COMPOSITION COMPRISING MACITENTAN AND A POLYSORBATE, WHEREIN THE POLYSORBATE REPRESENTS 0.1 TO 3% OF THE WEIGHT OF SAID PHARMACEUTICAL COMPOSITION"
"U-1821","METHOD FOR CONTRACEPTION TO A WOMAN COMPRISING ADMINISTERING TO THE WOMAN 30MG OF ULIPRISTAL ACETATE MORE THAN 72 HOURS AND UP TO 120 HOURS AFTER AN UNPROTECTED INTERCOURSE"
"U-1822","TREATMENT OF SCHIZOPHRENIA OR BIPOLAR DEPRESSION WITH IMPROVEMENT IN ATTENTION FUNCTION IN SCHIZOPHRENIA AND/OR BIPOLAR DISORDER"
"U-1823","A METHOD OF PROVIDING NITRIC OXIDE THERAPY TO A PATIENT BY COMPENSATING LONG-TERM SENSITIVITY DRIFT OF ELECTROCHEMICAL GAS SENSORS USED IN SYSTEMS FOR DELIVERING THERAPEUTIC NITRIC OXIDE TO A PATIENT"
"U-1824","A METHOD OF PROVIDING NITRIC OXIDE THERAPY TO A PATIENT BY VERIFYING GAS INFORMATION OF NITRIC OXIDE PRIOR TO DELIVERY TO PATIENT"
"U-1825","METHOD OF USING VISMODEGIB TO TREAT CANCER IN A MAMMAL"
"U-1826","TREATMENT OF HR-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER IN COMBINATION WITH PALBOCICLIB IN WOMEN WITH DISEASE PROGRESSION AFTER ENDOCRINE THERAPY"
"U-1827","A METHOD OF PROVIDING A SUBJECT WITH THERAPEUTICALLY EFFECTIVE AMOUNT OF RACEMIC METHYLPHENIDATE BY ORALLY ADMINISTERING TO SAID SUBJECT A SINGLE METHYLPHENIDATE EXTENDED RELEASE CHEWABLE TABLET ACCORDING TO CLAIM 1"
"U-1828","INCREASING MEAN ARTERIAL BLOOD PRESSURE IN ADULT PATIENTS WITH HYPOTENSION ASSOCIATED WITH SEPTIC SHOCK"
"U-1829","EMERGENCY TREATMENT OF ALLERGIC REACTIONS (TYPE I), INCLUDING ANAPHYLAXIS"
"U-1830","INDUCTION AND MAINTENANCE OF MYDRIASIS DURING INTRAOCULAR SURGERY"
"U-1831","METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION COMPRISING ADMINISTERING A CRYSTALLINE FORM OF SELEXIPAG"
"U-1832","IMPROVEMENT IN GLYCEMIC CONTROL IN DIABETES MELLITUS PATIENTS BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE"
"U-1833","REDUCTION OF ELEVATED INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA OR OCULAR HYPERTENSION"
"U-1834","TREATMENT OF POSTOPERATIVE INFLAMMATION AND PREVENTION OF OCULAR PAIN IN PATIENTS UNDERGOING CATARACT SURGERY"
"U-1835","TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) WITH 17P DELETION, AS DETECTED BY AN FDA APPROVED TEST, WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY"
"U-1836","TREATMENT OF HEREDITARY TYROSINEMIA TYPE 1 (HT-1) IN COMBINATION WITH DIETARY RESTRICTION OF TYROSINE AND PHENYLALANINE"
"U-1837","METHOD FOR TREATING TYPE II DIABETES MELLITUS BY ADMINISTERING SAXAGLIPTIN ALONE OR IN COMBINATION WITH INSULIN, METFORMIN, A THIAZOLIDINEDIONE, GLYBURIDE OR METFORMIN PLUS A SULFONYLUREA"
"U-1838","METHOD FOR TREATING TYPE II DIABETES MELLITUS BY ADMINISTERING SAXAGLIPTIN IN COMBINATION WITH METFORMIN"
"U-1839","COMPOSITION AND METHOD FOR PROVIDING A REDUCTION IN SIDE EFFECTS FOR HUMAN PATIENTS IN NEED OF ACETYLCYSTEINE THERAPY"
"U-1840","TREATMENT OF HCV INFECTION USING PARITAPREVIR, OMBITASVIR, RITONAVIR, AND DASABUVIR, WITHOUT RIBAVIRIN"
"U-1841","USE IN THE LONG-TERM, MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)"
"U-1842","METHOD OF TREATING EPILEPSY"
"U-1843","TREATMENT OF PSYCHOSIS"
"U-1844","TREATMENT OF PARKINSON'S DISEASE PSYCHOSIS"
"U-1845","TREATMENT OF PSYCHOSIS OR A SYMPTOM THEREOF"
"U-1846","TREATMENT OF A NEURODEGENERATIVE DISEASE OR A SYMPTOM THEREOF"
"U-1847","METHOD OF TREATING A BACTERIAL INFECTION"
"U-1848","TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN"
"U-1849","METHOD OF TREATING PULMONARY HYPERTENSION BY ADMINISTERING TREPROSTINIL OR A SALT THEREOF BY INHALATION USING A DEVICE"
"U-1850","METHOD OF ADMINISTERING LEVETIRACETAM"
"U-1851","A DOSING REGIMEN FOR THE TREATMENT OF  HYPERCHOLESTEROLEMIA AND HYPERLIPIDEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA USING AT LEAST THREE STEP-WISE INCREASING DOSES"
"U-1852","METHOD OF TREATING TYPE 2 DIABETES"
"U-1853","METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR IN COMBINATION WITH METFORMIN AND, OPTIONALLY, A SULFONYLUREA"
"U-1854","TREATMENT OF PRIMARY BILIARY CHOLANGITIS (PBC)"
"U-1855","IMPROVEMENT IN GLYCEMIC CONTROL IN DIABETES MELLITUS PATIENTS"
"U-1856","TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN, IN A PATIENT HOMOZYGOUS FOR THE UGT1A1*28 ALLELE"
"U-1857","TO INCREASE BLOOD PRESSURE IN ADULTS WITH VASODILATORY SHOCK (E.G., POST-CARDIOTOMY OR SEPSIS) WHO REMAIN HYPOTENSIVE DESPITE FLUIDS AND CATECHOLAMINES"
"U-1858","TREATMENT OF PLAQUE PSORIASIS"
"U-1859","TREATMENT OF SCHIZOPHRENIA, ACUTE TREATMENT OF MANIC AND MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER, ADJUNCTIVE TREATMENT OF MAJOR DEPRESSIVE DISORDER, AND TREATMENT OF IRRITABILITY ASSOCIATED WITH AUTISTIC DISORDER"
"U-1860","REDUCTION OF THE RATE OF CARDIOVASCULAR DEATH, MYOCARDIAL INFARCTION, AND STROKE IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION"
"U-1861","USE OF AN INHALER TO ADMINISTER DRY POWDER MEDICAMENT"
"U-1862","TREATMENT OF POST-MYOCARDIAL INFARCTION"
"U-1863","TREATMENT OF STROKE"
"U-1864","TREATMENT OF MYOCARDIAL INFARCTION"
"U-1865","TREATMENT OF THROMBOTIC STROKE"
"U-1866","TREATMENT OF STABLE AND UNSTABLE ANGINA"
"U-1867","METHOD OF INHIBITING PLATELET AGGREGATION"
"U-1868","TREATMENT OF ARTERIAL THROMBOTIC COMPLICATIONS SELECTED FROM THE GROUP CONSISTING OF UNSTABLE ANGINA, THROMBOTIC OR EMBOLIC STROKE, TRANSIENT ISCHAEMIC ATTACKS, PERIPHERAL VASCULAR DISEASE AND MYOCARDIAL INFARCTION"
"U-1869","TREATMENT OF AN ARTERIAL THROMBOTIC COMPLICATION IN A PATIENT WITH CORONARY ARTERY, CEREBROVASCULAR OR PERIPHERAL VASCULAR DISEASE"
"U-1870","ZINGO IS A POWDER INTRADERMAL SYSTEM THAT IS CAPABLE OF DELIVERING FINE DRY POWDERED LIDOCAINE HYDROCHLORIDE MONOHYDRATE FOR LOCAL ANESTHETIC ACTION"
"U-1871","TREATMENT OF SECONDARY HYPERPARATHYROIDISM IN PATIENTS WITH STAGE 3 OR 4 CHRONIC KIDNEY DISEASE USING CONTROLLED RELEASE, ORAL 25-HYDROXYVITAMIN D"
"U-1872","USE OF SUSTAINED RELEASE 25-HYDROXYVITAMIN D IN TREATING PATIENTS HAVING 25-HYDROXYVITAMIN D INSUFFICIENCY OR DEFICIENCY"
"U-1873","ADMINISTRATION OF 25-HYDROXYVITAMIN D3 BY CONTROLLED RELEASE"
"U-1874","TREATMENT OF FREQUENT HEARTBURN BY ADMINISTERING OMEPRAZOLE ACCORDING TO CLAIMS 1-8"
"U-1875","TREATMENT OF FREQUENT HEARTBURN BY ADMINISTERING S-OMEPRAZOLE TRIHYDRATE ACCORDING TO CLAIMS 1-3"
"U-1876","METHOD OF ANESTHETIZING AT LEAST A PORTION OF THE MAXILLARY DENTAL ARCH"
"U-1877","METHOD OF TREATING PULMONARY HYPERTENSION BY ORALLY ADMINISTERING A FORMULATION OF A PHARMACEUTICALLY ACCEPTABLE SALT OF TREPROSTINIL"
"U-1878","FOR OPIOID DEPENDENCE"
"U-1879","METHOD OF DIAGNOSING TUMORS USING POSITRON EMISSION TOMOGRAPHY"
"U-1880","TREATMENT OF SIGNS AND SYMPTOMS OF DRY EYE DISEASE (DED)"
"U-1881","IMPROVEMENT IN GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS BY USE OF A PEN INJECTOR"
"U-1882","MANAGEMENT OF MILD TO MODERATE PAIN, MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS, REDUCTION IN FEVER THROUGH ANALGESIC AND ANTIPYRETIC ACTIVITY"
"U-1883","TREATMENT OF GASTROINTESTINAL STROMAL TUMORS (GIST)"
"U-1884","USE OF LORCASERIN HYDROCHLORIDE FOR CHRONIC WEIGHT MANAGEMENT IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT"
"U-1885","USE OF LORCASERIN HYDROCHLORIDE FOR CHRONIC WEIGHT MANAGEMENT BY DECREASING FOOD INTAKE IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT"
"U-1886","USE OF LORCASERIN HYDROCHLORIDE FOR CHRONIC WEIGHT MANAGEMENT BY INDUCING SATIETY IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT"
"U-1887","USE OF LORCASERIN HYDROCHLORIDE FOR CHRONIC WEIGHT MANAGEMENT BY TREATING OBESITY IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT"
"U-1888","USE OF CONTROLLED RELEASE 25-HYDROXYVITAMIN D IN TREATING SECONDARY HYPERPARATHYROIDISM IN PATIENTS HAVING CHRONIC KIDNEY DISEASE"
"U-1889","TREATMENT OF HCV INFECTION USING DASABUVIR/OMBITASVIR/PARITAPREVIR/RITONAVIR FIXED DOSE COMBINATION"
"U-1890","OTC USE: ALLERGY SYMPTOM RELIEVER; TEMPORARILY RELIEVES THESE SYMPTOMS DUE TO HAY FEVER OR OTHER UPPER RESPIRATORY ALLERGIES; NASAL CONGESTION, RUNNY NOSE, SNEEZING, ITCHY NOSE, AND (ITCHY WATER EYES (AGES 12 AND UP))"
"U-1891","TREATMENT OR PREVENTION OF NAUSEA AND VOMITING"
"U-1892","METHOD OF TREATING LEFT VENTRICULAR DYSFUNCTION"
"U-1893","METHOD OF TREATING MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR DISORDER IN PEDIATRIC PATIENTS"
"U-1894","COMBINATION TREATMENT WITH A GLITAZONE FOR IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS"
"U-1895","METHOD OF TREATING PROSTATE CANCER"
"U-1896","SUPPLEMENT FOR VITAMIN B12 DEFICIENCIES"
"U-1897","METHOD OF TREATING ACS USING ANGIOPLASTY WITH AGGRASTAT (TIROFIBAN HYDROCHLORIDE)"
"U-1898","METHOD OF INHIBITING PLATELET AGGREGATION WITH AGGRASTAT (TIROFIBAN HYDROCHLORIDE)"
"U-1899","TREATMENT OF PANCREATIC CANCER THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN"
"U-1900","TREATMENT OF THE SIGNS AND SYMPTOMS OF DRY EYE DISEASE (DED)"
"U-1901","TREATMENT OF SCHIZOAFFECTIVE DISORDER AS A MONOTHERAPY AND AS AN ADJUNCT TO MOOD STABILIZERS OR ANTIDEPRESSANTS"
"U-1902","TREATMENT OR SECONDARY PREVENTION OF CARDIOVASCULAR DISEASE, CARDIOVASCULAR EVENTS, OR CEREBROVASCULAR EVENTS AND RISK-REDUCTION OF ASPIRIN-ASSOCIATED GASTRIC ULCERS"
"U-1903","USE OF NALOXONE HYDROCHLORIDE FOR EMERGENCY TREATMENT OF KNOWN OR SUSPECTED OPIOID OVERDOSE, AS MANIFESTED BY RESPIRATORY AND/OR CENTRAL NERVOUS SYSTEM DEPRESSION."
"U-1904","(I)TREATMENT OF DUCHENNE MUSCULAR DYSTROPHY; (II)RESTORING/INCREASING FUNCTIONAL DYSTROPHIN PROTEIN; OR (III) INDUCING SKIPPING; EACH OF (I)-(III) IN PATIENTS HAVING A CONFIRMED MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING"
"U-1905","METHOD OF TREATING A PATIENT HAVING CYSTIC FIBROSIS, THE PATIENT HAVING A R117H MUTATION IN CFTR, USING N-(5-HYDROXY-2,4-DI-TERT-BUTYL-PHENYL)-4-OXO-1H-QUINOLINE-3-CARBOXAMIDE"
"U-1906","METHOD OF TREATING A PATIENT HAVING CYSTIC FIBROSIS, SUCH AS A PATIENT HAVING A G551D MUTATION IN CFTR, USING N-(5-HYDROXY-2,4-DI-TERT-BUTYL-PHENYL)-4-OXO-1H-QUINOLINE-3-CARBOXAMIDE"
"U-1907","USE OF A DELIVERY DEVICE TO ADMINISTER A DOSE OF NALOXONE"
"U-1908","METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING IVACAFTOR AND FORM I LUMACAFTOR"
"U-1909","METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING IVACAFTOR AND LUMACAFTOR"
"U-1910","METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING THE DOSAGE UNIT OF CLAIM 1 OF U.S. PATENT NO. 8,716,338"
"U-1911","METHOD OF TREATING A PATIENT HAVING CYSTIC FIBROSIS USING IVACAFTOR AND LUMACAFTOR"
"U-1912","METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING A DOSAGE UNIT AS DEFINED IN CLAIM 1 OF U.S. PATENT NO. 9,192,606"
"U-1913","TREATMENT OF PEDIATRIC PATIENTS WITH BILATERAL OTITIS MEDIA WITH EFFUSION UNDERGOING TYMPANOSTOMY TUBE PLACEMENT"
"U-1914","IN COMBINATION WITH RITUXIMAB, FOR THE TREATMENT OF PATIENTS WITH RELAPSED CHRONIC LYMPHOCYTIC LEUKEMIA (CLL)"
"U-1915","METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS WITH SEVERE CHRONIC RENAL IMPAIRMENT AND WHO ARE INELIGIBLE FOR METFORMIN THERAPY BY ADMINISTERING LINAGLIPTIN"
"U-1916","PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH CHEMOTHERAPY (CINV)"
"U-1917","TREATMENT OF EXOCRINE PANCREATIC CANCER THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN"
"U-1918","TREATMENT OF DUCHENNE MUSCULAR DYSTROPHY IN PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING"
"U-1919","RESTORING AN MRNA READING FRAME TO INDUCE DYSTROPHIN PROTEIN PRODUCTION IN PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING"
"U-1920","USE OF EXTENDED RELEASE ORAL 25-HYDROXYVITAMIN D3 IN TREATING SECONDARY HYPERPARATHYROIDISM IN ADULT PATIENTS HAVING CHRONIC KIDNEY DISEASE STAGE 3 OR STAGE 4"
"U-1921","MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG-TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE BY PROVIDING AN ABUSE-DETERRENT ORAL CONTROLLED RELEASE COMBINATION DRUG PRODUCT"
"U-1922","INTRAVAGINAL PRASTERONE (DEHYDROEPIANDROSTERONE) AT A DAILY DOSE OF 6.5MG FOR THE TREATMENT OF DYSPAREUNIA, A SYMPTOM OF VULVAR AND VAGINAL ATROPHY, DUE TO MENOPAUSE"
"U-1923","IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY BASAL INSULIN OR LIXISENATIDE BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE"
"U-1924","KYPROLIS IS INDICATED IN COMBINATION WITH LENALIDOMIDE PLUS DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE TO THREE LINES OF THERAPY"
"U-1925","USE OF AN AUTO INJECTOR TO ADMINISTER NALOXONE HCL"
"U-1926","METHOD OF TREATING, REDUCING THE INCIDENCE OF, OR PREVENTING AN ISCHEMIC EVENT IN A PATIENT UNDERGOING PCI BY ADMINISTERING INTRAVENOUSLY 30 UG/KG BOLUS BEFORE PCI AND CONTINUOUS INFUSION OF 4 UG/KG/MIN FOR AT LEAST 2 HOURS OR THE DURATION OF THE PCI"
"U-1927","TREATMENT OF PATIENTS WITH ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHO HAVE PROGRESSED ON OR ARE INTOLERANT TO CRIZOTINIB"
"U-1928","RUBRACA IS INDICATED AS MONOTHERAPY FOR THE TREATMENT OF PATIENTS WITH DELETERIOUS BRCA MUTATION (GERMLINE AND/OR SOMATIC) ASSOCIATED ADVANCED OVARIAN CANCER WHO HAVE BEEN TREATED WITH TWO OR MORE CHEMOTHERAPIES."
"U-1929","TREATMENT OF DIABETES MELLITUS WITH AN INHALED INSULIN TO IMPROVE GLYCEMIC CONTROL USING A DRY POWDER INHALATION SYSTEM COMPRISING AN INHALER, A CARTRIDGE AND A DRY POWDER MEDICAMENT COMPRISING INSULIN IN A SINGLE INHALATION"
"U-1930","METHOD OF AEROSOLIZING/DEAGGLOMERATING AN INSULIN DRY POWDER FOR USE IN TREATING DIABETES MELLITUS VIA ORAL INHALATION USING AN INHALER WITH A CARTRIDGE CONTAINING THE INSULIN DRY POWDER."
"U-1931","PROPHYLAXIS OR TREATMENT OF VENOUS AND ARTERIAL THROMBOTIC DISEASE"
"U-1932","METHOD OF TREATING MILD TO MODERATE ATOPIC DERMATITIS."
"U-1933","TREATMENT OF POSTOPERATIVE INFLAMMATION AND REDUCTION OF OCULAR PAIN IN PATIENTS WHO HAVE UNDERGONE CATARACT SURGERY"
"U-1934","TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH A STRONG CYP1A2 INHIBITOR"
"U-1935","REDUCTION OF THE RATE OF CARDIOVASCULAR DEATH, MYOCARDIAL INFARCTION, AND STROKE IN PATIENTS WITH A HISTORY OF MYOCARDIAL INFARCTION"
"U-1936","TREATMENT OF MYOCARDIAL INFARCTION AND STROKE IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION"
"U-1937","TREATMENT OF MYOCARDIAL INFARCTION IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION"
"U-1938","TREATMENT OF STROKE IN PATIENTS WITH ACUTE CORONARY SYNDROME OR A HISTORY OF MYOCARDIAL INFARCTION"
"U-1939","ADMINISTRATION ONCE DAILY WITHIN TWO HOURS AFTER WAKING IN THE MORNING FOR IMPROVEMENT OF GLYCEMIC CONTROL IN A TYPE 2 DIABETES PATIENT"
"U-1940","IMPROVEMENT IN THE APPEARANCE OF MODERATE TO SEVERE CONVEXITY OR FULLNESS ASSOCIATED WITH SUBMENTAL FAT IN ADULTS BY MEANS OF REDUCING SUBMENTAL FAT VOLUME AS DESCRIBED IN THE APPROVED LABELING"
"U-1941","TREATMENT OF INFANTILE-ONSET SPINAL MUSCULAR ATROPHY"
"U-1942","TREATMENT OF SPINAL MUSCULAR ATROPHY BY INCREASING EXON-7 INCLUSION IN SMN2 MRNA"
"U-1943","TREATMENT OF SPINAL MUSCULAR ATROPHY"
"U-1944","TREATMENT OF SPINAL MUSCULAR ATROPHY BY INHIBITING AN SMN2 PRE-MRNA INTRONIC SPLICING SILENCER SITE"
"U-1945","IMPROVEMENT OF GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH METFORMIN."
"U-1946","TREATMENT OF SMALL LYMPHOCYTIC LYMPHOMA"
"U-1947","TREATMENT OF MARGINAL ZONE LYMPHOMA"
"U-1948","A METHOD FOR TREATING CHRONIC MYELOID LEUKEMIA"
"U-1949","FOR USE IN THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL)"
"U-1950","TREATMENT OF PATIENTS WITH ADVANCED (METASTATIC) NON-SMALL CELL LUNG CANCER WHOSE DISEASE PROGRESSED DURING OR AFTER PLATINUM-BASED CHEMOTHERAPY"
"U-1951","TREATMENT OF ONYCHOMYCOSIS OF A TOENAIL"
"U-1952","FOR USE IN THE TREATMENT OF PATIENTS WITH INDOLENT B-CELL NON-HODGKIN LYMPHOMA"
"U-1953","REDUCE THE RISK OF STROKE IN PATIENTS WITH NONVALVULAR ATRIAL FIBRILLATION WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
"U-1954","TREATMENT OF DEEP VEIN THROMBOSIS WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
"U-1955","TREATMENT OF PULMONARY EMBOLISM WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
"U-1956","FOLLOWING INITIAL 6 MONTHS TREATMENT FOR DEEP VEIN THROMBOSIS (DVT) AND/OR PULMONARY EMBOLISM (PE), REDUCTION IN THE RISK OF RECURRENCE OF DVT AND OF PE WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
"U-1957","PROPHYLAXIS OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM IN PATIENTS UNDERGOING KNEE OR HIP REPLACEMENT SURGERY, WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
"U-1958","FOR THE TREATMENT OF GENOTYPE 1, 2, 3 OR 4 CHRONIC HEPATITIS C VIRUS (HCV) INFECTION AS A COMPONENT OF A COMBINATION ANTIVIRAL TREATMENT REGIMEN WITH RIBAVIRIN"
"U-1959","TOPICAL TREATMENT OF PERSISTENT FACIAL ERYTHEMA ASSOCIATED WITH ROSACEA IN ADULTS WITH 1% OXYMETAZOLINE HYDROCHLORIDE CREAM"
"U-1960","USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF SCHIZOPHRENIA IN ADULTS"
"U-1961","USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: ACUTE MONOTHERAPY OF MANIC OR MIXED EPISODES (AGES 10 TO ADULT)"
"U-1962","USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: MAINTENANCE MONOTHERAPY IN ADULTS"
"U-1963","USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: AS ADJUNCTIVE TREATMENT TO LITHIUM OR VALPROATE IN ADULTS"
"U-1964","ELEVATION OF INTRACELLULAR CGMP RESULTING IN INCREASED INTESTINAL FLUID AND ACCELERATED TRANSIT"
"U-1965","FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) IN COMBINATION WITH TADALAFIL, WHEREIN THE WEIGHT RATIO OF AMBRISENTAN TO TADALAFIL IS ABOUT 1:2 TO ABOUT 1:3"
"U-1966","USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: ACUTE MONOTHERAPY OF MANIC OR MIXED EPISODES IN PEDIATRIC PATIENTS AGE 10-17"
"U-1967","METHOD OF TREATING TYPE 2 DIABETES IN PATIENTS WITH INSUFFICIENT GLYCEMIC CONTROL DESPITE THERAPY WITH ONE OR MORE CONVENTIONAL ANTIHYPERGLYCEMIC AGENTS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH METFORMIN"
"U-1968","METHOD OF TREATING TYPE 2 DIABETES IN PATIENTS WHO HAVE NOT BEEN PREVIOUSLY TREATED WITH AN ANTIHYPERGLYCEMIC AGENT BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH METFORMIN"
"U-1969","TOPICAL TREATMENT OF ONYCHOMYCOSIS OF THE TOENAIL(S) DUE TO TRICHOPHYTON RUBRUM AND TRICHOPHYTON MENTAGROPHYTES"
"U-1970","TREATMENT OF ONYCHOMYCHOSIS OF A TOENAIL CAUSED BY TRICHOPHYTON RUBRUM OR TRICHOPHYTON MENTAGROPHYTES"
"U-1971","FOR THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA"
"U-1972","FOR THE TREATMENT OF PATIENTS WITH INDOLENT B-CELL NON-HODGKIN LYMPHOMA"
"U-1973","METHOD OF TREATING CYSTIC FIBROSIS USING N-(5-HYDROXY-2,4-DITERT-BUTYL-PHENYL)-4-OXO-1H-QUINOLINE-3-CARBOXAMIDE AND 3-(6-(1-2,2-DIFLUOROBENZO[D][1,3]DIOXOL-5-YL) CYCLOPROPANECARBOXAMIDO)-3-METHYLPYRIDIN-2-YL)BENZOIC ACID"
"U-1974","TREATMENT OF HALLUCINATIONS AND DELUSIONS ASSOCIATED WITH PARKINSON'S DISEASE PSYCHOSIS"
"U-1975","METHOD OF INCREASING EYELASH GROWTH WITH BIMATOPROST"
